,title,price,link
33,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹10,499",/samsung-galaxy-f13-nightsky-green-64-gb/p/itmeadfda1bd23fa?pid=MOBGENJWF4KJTPEN&lid=LSTMOBGENJWF4KJTPENAUQVSZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_34&otracker=search&fm=organic&iid=6d4bf859-0ba0-4035-a772-1cbdd8fbc516.MOBGENJWF4KJTPEN.SEARCH&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
34,"REDMI 10 (Caribbean Green, 64 GB)","₹9,999",/redmi-10-caribbean-green-64-gb/p/itmbfb8dfcdd6e10?pid=MOBGC9GYQGGKWEU3&lid=LSTMOBGC9GYQGGKWEU3QIYEXM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_35&otracker=search&fm=organic&iid=6d4bf859-0ba0-4035-a772-1cbdd8fbc516.MOBGC9GYQGGKWEU3.SEARCH&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
35,"realme C35 (Glowing Black, 64 GB)","₹11,999",/realme-c35-glowing-black-64-gb/p/itmafb045222b2cf?pid=MOBGBTHFDQXQEGNS&lid=LSTMOBGBTHFDQXQEGNS7O0VBO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_36&otracker=search&fm=organic&iid=6d4bf859-0ba0-4035-a772-1cbdd8fbc516.MOBGBTHFDQXQEGNS.SEARCH&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
36,"vivo T1 44W (Starry Sky, 128 GB)","₹15,999",/vivo-t1-44w-starry-sky-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVMW2UDXZY&lid=LSTMOBGDRHVMW2UDXZYVNQXYN&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_37&otracker=search&fm=organic&iid=6d4bf859-0ba0-4035-a772-1cbdd8fbc516.MOBGDRHVMW2UDXZY.SEARCH&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
37,"REDMI 10 (Caribbean Green, 128 GB)","₹11,999",/redmi-10-caribbean-green-128-gb/p/itm2389889c22bf0?pid=MOBGC9GYQVJHKH76&lid=LSTMOBGC9GYQVJHKH76KEBWPH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_38&otracker=search&fm=organic&iid=6d4bf859-0ba0-4035-a772-1cbdd8fbc516.MOBGC9GYQVJHKH76.SEARCH&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
38,"vivo T1 5G (Rainbow Fantasy, 128 GB)","₹15,990",/vivo-t1-5g-rainbow-fantasy-128-gb/p/itm594222523bd8f?pid=MOBGB9TYGW5NGXVH&lid=LSTMOBGB9TYGW5NGXVHWMF5TV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_39&otracker=search&fm=organic&iid=6d4bf859-0ba0-4035-a772-1cbdd8fbc516.MOBGB9TYGW5NGXVH.SEARCH&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
39,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","₹10,499",/samsung-galaxy-f13-sunrise-copper-64-gb/p/itm0d8c65ec17621?pid=MOBGENJWWRYSFC5P&lid=LSTMOBGENJWWRYSFC5PYXUAZH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_40&otracker=search&fm=organic&iid=6d4bf859-0ba0-4035-a772-1cbdd8fbc516.MOBGENJWWRYSFC5P.SEARCH&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
40,"REDMI 10 (Pacific Blue, 64 GB)","₹9,999",/redmi-10-pacific-blue-64-gb/p/itm0f2a6a2112b75?pid=MOBGC9GYCHQZK9GW&lid=LSTMOBGC9GYCHQZK9GW8N0WII&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_41&otracker=search&fm=organic&iid=6d4bf859-0ba0-4035-a772-1cbdd8fbc516.MOBGC9GYCHQZK9GW.SEARCH&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
41,"vivo T1X (Gravity Black, 128 GB)","₹12,999",/vivo-t1x-gravity-black-128-gb/p/itm9e8207e7825a9?pid=MOBGG56ZYZSNW7JX&lid=LSTMOBGG56ZYZSNW7JXBKVX1F&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_42&otracker=search&fm=organic&iid=6d4bf859-0ba0-4035-a772-1cbdd8fbc516.MOBGG56ZYZSNW7JX.SEARCH&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
42,"vivo T1X (Space Blue, 128 GB)","₹12,999",/vivo-t1x-space-blue-128-gb/p/itm9e8207e7825a9?pid=MOBGG56ZYSVXEAHC&lid=LSTMOBGG56ZYSVXEAHCCUPIEO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_43&otracker=search&fm=organic&iid=6d4bf859-0ba0-4035-a772-1cbdd8fbc516.MOBGG56ZYSVXEAHC.SEARCH&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
43,"POCO M4 Pro 5G (Cool Blue, 64 GB)","₹12,999",/poco-m4-pro-5g-cool-blue-64-gb/p/itm827b338897bfe?pid=MOBGBEU7YYZGFMYB&lid=LSTMOBGBEU7YYZGFMYBKLZWIN&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_44&otracker=search&fm=organic&iid=6d4bf859-0ba0-4035-a772-1cbdd8fbc516.MOBGBEU7YYZGFMYB.SEARCH&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
44,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)","₹13,499",/samsung-galaxy-f22-denim-black-128-gb/p/itm9f921a1b4f96c?pid=MOBG43UGFGYU4K4B&lid=LSTMOBG43UGFGYU4K4B0FR1R0&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_45&otracker=search&fm=organic&iid=6d4bf859-0ba0-4035-a772-1cbdd8fbc516.MOBG43UGFGYU4K4B.SEARCH&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
45,Nokia 105 SS,"₹1,299",/nokia-105-ss/p/itmb937aecea14e6?pid=MOBGC96FRD7DB2R7&lid=LSTMOBGC96FRD7DB2R7JBURME&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_46&otracker=search&fm=organic&iid=6d4bf859-0ba0-4035-a772-1cbdd8fbc516.MOBGC96FRD7DB2R7.SEARCH&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
46,Nokia 105 SS,"₹1,299",/nokia-105-ss/p/itmb937aecea14e6?pid=MOBGC96FVTHVNXNH&lid=LSTMOBGC96FVTHVNXNHGPCV73&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_47&otracker=search&fm=organic&iid=6d4bf859-0ba0-4035-a772-1cbdd8fbc516.MOBGC96FVTHVNXNH.SEARCH&ppt=None&ppn=None&ssid=he1802pzk00000001669553608050&qH=eb4af0bf07c16429
